PJ694	-33.434832	-70.73023909999999	
PJ695	-33.4330919	-70.730318	
PJ693	-33.4364219	-70.730856	
PJ692	-33.439498	-70.730891	
PJ691	-33.4414418	-70.7309083	
PJ690	-33.4448669	-70.73092799999999	
PJ69	-33.4454648	-70.7406894	
PJ689	-33.450351	-70.73076580000001	
PJ688	-33.450595	-70.727826	
PJ687	-33.4513873	-70.7251382	
PJ682	-33.4330131	-70.77257680000001	
PJ681	-33.4342601	-70.77264989999999	
PJ68	-33.4416072	-70.7406141	
PJ677	-33.43656560000001	-70.75170299999999	
PJ675	-33.4362787	-70.745038	
PJ676	-33.4364386	-70.748747	
PJ673	-33.4363037	-70.740619	
PJ674	-33.43628570000001	-70.74315899999999	
PJ672	-33.4363158	-70.737507	
PJ670	-33.4362999	-70.732567	
PJ671	-33.4363218	-70.73521	
PJ67	-33.4389269	-70.7408227	
PJ669	-33.4362329	-70.730055	
PJ668	-33.437126	-70.726894	
PJ667	-33.4374002	-70.7253556	
PJ66	-33.4360377	-70.7409748	
PJ651	-33.437163	-70.727356	
PJ653	-33.4388841	-70.722948	
PJ652	-33.4376771	-70.724851	
PJ650	-33.4363079	-70.731038	
PJ65	-33.4335303	-70.7409538	
PJ649	-33.4363709	-70.732824	
PJ648	-33.4364739	-70.734838	
PJ647	-33.4364678	-70.737938	
PJ646	-33.4364577	-70.74354799999999	
PJ645	-33.4364317	-70.74629	
PJ644	-33.4365146	-70.74886289999999	
PJ639	-33.4342026	-70.7728329	
PJ64	-33.4296208	-70.740826	
PJ638	-33.4331991	-70.7727663	
PJ635	-33.4537033	-70.765558	
PJ634	-33.4535453	-70.762335	
PJ633	-33.4541886	-70.7588777	
PJ632	-33.4550466	-70.7548067	
PJ631	-33.4558166	-70.750801	
PJ63	-33.4259607	-70.739858	
PJ630	-33.4564811	-70.74758779999999	
PJ628	-33.4575507	-70.74156599999999	
PJ629	-33.4569488	-70.7449402	
PJ627	-33.4530196	-70.73910409999999	
PJ626	-33.4502608	-70.738934	
PJ625	-33.4505617	-70.7373681	
PJ622	-33.4471184	-70.7307544	
PJ624	-33.4499393	-70.7343068	
PJ623	-33.4488578	-70.73107929999999	
PJ621	-33.447932	-70.7267851	
PJ620	-33.4480991	-70.723282	
PJ62	-33.4226058	-70.740337	
PJ618	-33.443844	-70.72341899999999	
PJ617	-33.4418535	-70.72315910000002	
PJ616	-33.4401931	-70.723001	
PJ615	-33.4383201	-70.7222189	
PJ613	-33.4338431	-70.721001	
PJ614	-33.4363441	-70.72154189999999	
PJ612	-33.4314762	-70.720499	
